center,plant,component,amount sent (tonne),transportation cost ($),variable operating cost ($)
Chicago,Dallas,film,630.0,1890.0,5670.0
Chicago,Dallas,paper,662.0000000000001,1986.0000000000005,5958.000000000001
Chicago,Dallas,cardboard,81.0,243.0,729.0
New York City,Phoenix,film,451.00000000000006,2255.0000000000005,4059.0000000000005
New York City,Phoenix,paper,640.0000000000001,3200.0000000000005,5760.000000000001
New York City,Phoenix,cardboard,516.0000000000001,2580.0000000000005,4644.000000000001
Los Angeles,Dallas,film,478.0,2868.0,4302.0
Los Angeles,Dallas,paper,342.99999999999994,2057.9999999999995,3086.9999999999995
Los Angeles,Dallas,cardboard,197.0,1182.0,1773.0
Houston,Phoenix,film,703.9999999999998,1407.9999999999995,6335.999999999998
Houston,Phoenix,paper,268.0,536.0,2412.0
Houston,Phoenix,cardboard,600.9999999999999,1201.9999999999998,5408.999999999999
Phoenix,Phoenix,film,674.0,2022.0,6066.0
Phoenix,Phoenix,paper,515.9999999999999,1547.9999999999995,4643.999999999999
Phoenix,Phoenix,cardboard,398.0,1194.0,3582.0
Philadelphia,Dallas,film,165.99999999999997,331.99999999999994,1493.9999999999998
Philadelphia,Dallas,paper,91.0,182.0,819.0
Philadelphia,Dallas,cardboard,315.99999999999994,631.9999999999999,2843.9999999999995
San Antonio,Dallas,film,614.0000000000001,614.0000000000001,5526.000000000001
San Antonio,Dallas,paper,273.0,273.0,2457.0
San Antonio,Dallas,cardboard,435.00000000000006,435.00000000000006,3915.0000000000005
San Diego,Phoenix,film,669.0000000000001,5352.000000000001,6021.000000000001
San Diego,Phoenix,paper,192.0,1536.0,1728.0
San Diego,Phoenix,cardboard,859.0000000000001,6872.000000000001,7731.000000000001
Dallas,Phoenix,film,458.00000000000006,3664.0000000000005,4122.000000000001
Dallas,Phoenix,paper,424.0000000000001,3392.000000000001,3816.000000000001
Dallas,Phoenix,cardboard,320.0,2560.0,2880.0
San Jose,Dallas,film,300.0,900.0,2700.0
San Jose,Dallas,paper,484.99999999999994,1454.9999999999998,4364.999999999999
San Jose,Dallas,cardboard,563.9999999999999,1691.9999999999995,5075.999999999999
