plant,emission,time,amount emitted (tonne),emission cost ($)
MRF (Chicago),CO2,1,88.11999999999999,0.8811999999999999
MRF (Chicago),CO2,2,319.09,3.1908999999999996
Paper Mill (Phoenix),CO2,1,111.96120000000002,1.1196120000000003
Paper Mill (Phoenix),CO2,2,121.9771,1.219771
Paper Mill (Dallas),CO2,1,97.26479999999998,0.9726479999999998
Paper Mill (Dallas),CO2,2,113.78059999999999,1.1378059999999999
MRF (Phoenix),CO2,1,443.25000000000006,4.432500000000001
MRF (Phoenix),CO2,2,500.0,5.0
MRF (Dallas),CO2,1,265.19,2.6519
MRF (Dallas),CO2,2,398.83,3.9882999999999997
Paper Mill (Chicago),CO2,1,17.8095,0.178095
Paper Mill (Chicago),CO2,2,62.10079999999999,0.6210079999999999
