source,destination,product,component,time,distance (km),amount sent (tonne),transportation cost ($),variable operating cost ($)
MRF (Chicago),Paper Mill (Chicago),Cardboard bale,Paper,1,0.0,92.70000000000002,0.0,92.70000000000002
MRF (Chicago),Paper Mill (Chicago),Cardboard bale,Paper,2,0.0,304.579999999999,0.0,304.579999999999
MRF (Chicago),Paper Mill (Chicago),Cardboard bale,Cardboard,1,0.0,1688.25,0.0,1688.25
MRF (Chicago),Paper Mill (Chicago),Cardboard bale,Cardboard,2,0.0,5905.5,0.0,5905.5
MRF (Phoenix),Paper Mill (Phoenix),Cardboard bale,Paper,1,0.0,280.6200000000026,0.0,280.6200000000026
MRF (Phoenix),Paper Mill (Phoenix),Cardboard bale,Paper,2,0.0,307.96000000000004,0.0,307.96000000000004
MRF (Phoenix),Paper Mill (Phoenix),Cardboard bale,Cardboard,1,0.0,10915.5,0.0,10915.5
MRF (Phoenix),Paper Mill (Phoenix),Cardboard bale,Cardboard,2,0.0,11889.75,0.0,11889.75
MRF (Dallas),Paper Mill (Dallas),Cardboard bale,Paper,1,0.0,112.97999999999774,0.0,112.97999999999774
MRF (Dallas),Paper Mill (Dallas),Cardboard bale,Paper,2,0.0,245.06,0.0,245.06
MRF (Dallas),Paper Mill (Dallas),Cardboard bale,Cardboard,1,0.0,9613.5,0.0,9613.5
MRF (Dallas),Paper Mill (Dallas),Cardboard bale,Cardboard,2,0.0,11133.0,0.0,11133.0
Collection (San Antonio),MRF (Dallas),Waste,Film,1,476.098,288.0,6855.811200000001,288.0
Collection (San Antonio),MRF (Dallas),Waste,Film,2,476.098,4240.0,100932.77600000001,4240.0
Collection (San Antonio),MRF (Dallas),Waste,Paper,1,476.098,252.00000000000003,5998.834800000001,252.00000000000003
Collection (San Antonio),MRF (Dallas),Waste,Paper,2,476.098,3710.0000000000005,88316.17900000002,3710.0000000000005
Collection (San Antonio),MRF (Dallas),Waste,Cardboard,1,476.098,324.0,7712.7876000000015,324.0
Collection (San Antonio),MRF (Dallas),Waste,Cardboard,2,476.098,4770.0,113549.37300000002,4770.0
Collection (San Jose),MRF (Phoenix),Waste,Film,1,1173.985,1255.0,73667.55875,1255.0
Collection (San Jose),MRF (Phoenix),Waste,Film,2,1173.985,2310.0,135595.2675,2310.0
Collection (San Jose),MRF (Phoenix),Waste,Paper,1,1173.985,2510.0,147335.1175,2510.0
Collection (San Jose),MRF (Phoenix),Waste,Paper,2,1173.985,4620.0,271190.535,4620.0
Collection (San Jose),MRF (Phoenix),Waste,Cardboard,1,1173.985,251.0,14733.51175,251.0
Collection (San Jose),MRF (Phoenix),Waste,Cardboard,2,1173.985,462.0,27119.053499999998,462.0
Collection (San Jose),MRF (Dallas),Waste,Film,2,2705.116,2340.0,316498.572,2340.0
Collection (San Jose),MRF (Dallas),Waste,Paper,2,2705.116,4680.0,632997.144,4680.0
Collection (San Jose),MRF (Dallas),Waste,Cardboard,2,2705.116,468.0,63299.7144,468.0
Collection (New York City),MRF (Chicago),Waste,Film,1,1293.755,990.0,64040.872500000005,990.0
Collection (New York City),MRF (Chicago),Waste,Film,2,1293.755,6450.0,417235.98750000005,6450.0
Collection (New York City),MRF (Chicago),Waste,Paper,1,1293.755,891.0,57636.78525000001,891.0
Collection (New York City),MRF (Chicago),Waste,Paper,2,1293.755,5805.0,375512.38875000004,5805.0
Collection (New York City),MRF (Chicago),Waste,Cardboard,1,1293.755,297.0,19212.26175,297.0
Collection (New York City),MRF (Chicago),Waste,Cardboard,2,1293.755,1934.9999999999998,125170.79625,1934.9999999999998
Collection (Los Angeles),MRF (Phoenix),Waste,Film,1,668.923,4160.0,139135.98400000003,4160.0
Collection (Los Angeles),MRF (Phoenix),Waste,Film,2,668.923,5704.0,190776.8396,5704.0
